tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt1969062,movie,Infinitely Polar Bear,Infinitely Polar Bear,0,2014,\N,90,"Comedy,Drama,Romance"
tt1972571,movie,A Most Wanted Man,A Most Wanted Man,0,2014,\N,122,"Crime,Drama,Thriller"
tt1979320,movie,Rush,Rush,0,2013,\N,123,"Action,Biography,Drama"
tt1980209,movie,Pain & Gain,Pain & Gain,0,2013,\N,129,"Action,Biography,Comedy"
tt1980929,movie,Begin Again,Begin Again,0,2013,\N,104,"Comedy,Drama,Music"
tt1981677,movie,Pitch Perfect,Pitch Perfect,0,2012,\N,112,"Comedy,Music,Romance"
tt1985966,movie,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,0,2013,\N,95,"Adventure,Animation,Comedy"
tt2006810,movie,Papadopoulos & Sons,Papadopoulos & Sons,0,2012,\N,105,"Comedy,Drama"
tt2017020,movie,The Smurfs 2,The Smurfs 2,0,2013,\N,105,"Adventure,Animation,Comedy"
tt2024432,movie,Identity Thief,Identity Thief,0,2013,\N,111,"Comedy,Crime,Drama"
tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,\N,134,"Biography,Drama,History"
tt2039393,movie,The Gambler,The Gambler,0,2014,\N,111,"Crime,Drama,Thriller"
tt2053425,movie,Rust and Bone,De rouille et d'os,0,2012,\N,120,"Drama,Romance"
tt2063781,movie,Smashed,Smashed,0,2012,\N,81,Drama
tt2080374,movie,Steve Jobs,Steve Jobs,0,2015,\N,122,"Biography,Drama"
tt2084970,movie,The Imitation Game,The Imitation Game,0,2014,\N,114,"Biography,Drama,Thriller"
tt2091473,movie,Promised Land,Promised Land,0,2012,\N,106,Drama
tt2096672,movie,Dumb and Dumber To,Dumb and Dumber To,0,2014,\N,109,Comedy
tt2096673,movie,Inside Out,Inside Out,0,2015,\N,95,"Adventure,Animation,Comedy"
tt2101441,movie,Spring Breakers,Spring Breakers,0,2012,\N,94,"Crime,Drama,Thriller"
tt2114461,movie,Authors Anonymous,Authors Anonymous,0,2014,\N,92,Comedy
tt2118624,movie,The Final Girls,The Final Girls,0,2015,\N,91,"Comedy,Fantasy,Horror"
tt2120120,movie,Pixels,Pixels,0,2015,\N,105,"Action,Comedy,Fantasy"
tt2125435,movie,Beasts of the Southern Wild,Beasts of the Southern Wild,0,2012,\N,93,"Adventure,Drama,Fantasy"
tt2126355,movie,San Andreas,San Andreas,0,2015,\N,114,"Action,Adventure,Thriller"
tt2132285,movie,The Bling Ring,The Bling Ring,0,2013,\N,90,"Biography,Crime,Drama"
tt2140373,movie,Saving Mr. Banks,Saving Mr. Banks,0,2013,\N,125,"Biography,Comedy,Drama"
tt2140379,movie,Self/less,Self/less,0,2015,\N,117,"Action,Mystery,Sci-Fi"
tt2140619,movie,Two Night Stand,Two Night Stand,0,2014,\N,86,"Comedy,Romance"
tt2170439,movie,Horrible Bosses 2,Horrible Bosses 2,0,2014,\N,108,"Comedy,Crime"
tt2170593,movie,St. Vincent,St. Vincent,0,2014,\N,102,"Comedy,Drama"
tt2172584,movie,Maps to the Stars,Maps to the Stars,0,2014,\N,111,"Comedy,Drama,Mystery"
tt2172934,movie,3 Days to Kill,3 Days to Kill,0,2014,\N,117,"Action,Drama,Thriller"
tt2179136,movie,American Sniper,American Sniper,0,2014,\N,133,"Action,Biography,Drama"
tt2180411,movie,Into the Woods,Into the Woods,0,2014,\N,125,"Adventure,Comedy,Drama"
tt2193215,movie,The Counselor,The Counselor,0,2013,\N,117,"Action,Adventure,Crime"
tt2199571,movie,Run All Night,Run All Night,0,2015,\N,114,"Action,Crime,Thriller"
tt2209418,movie,Before Midnight,Before Midnight,0,2013,\N,109,"Drama,Romance"
tt2209764,movie,Transcendence,Transcendence,0,2014,\N,119,"Action,Drama,Sci-Fi"
tt2216212,movie,The Amityville Asylum,The Amityville Asylum,0,2013,\N,88,Horror
tt2219868,movie,Finders Keepers: The Root of All Evil,Finders Keepers: The Root of All Evil,0,2013,\N,74,"Action,Horror,Thriller"
tt2226417,movie,Insidious: Chapter 2,Insidious: Chapter 2,0,2013,\N,106,"Horror,Mystery,Thriller"
tt2231253,movie,Wild Card,Wild Card,0,2015,\N,92,"Action,Crime,Drama"
tt2234003,movie,Calvary,Calvary,0,2014,\N,102,"Crime,Drama,Mystery"
tt2235108,movie,Dear White People,Dear White People,0,2014,\N,108,"Comedy,Drama,Romance"
tt2257436,movie,Hate Crime,Hate Crime,0,2012,\N,73,"Action,Horror,Thriller"
tt2258858,movie,Wadjda,Wadjda,0,2012,\N,98,"Comedy,Drama"
tt2267998,movie,Gone Girl,Gone Girl,0,2014,\N,149,"Drama,Mystery,Thriller"
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,0,2014,\N,99,"Adventure,Comedy,Crime"
tt2293640,movie,Minions,Minions,0,2015,\N,91,"Adventure,Animation,Comedy"
tt2294449,movie,22 Jump Street,22 Jump Street,0,2014,\N,112,"Action,Comedy,Crime"
tt2294629,movie,Frozen,Frozen,0,2013,\N,102,"Adventure,Animation,Comedy"
tt2304953,movie,Reasonable Doubt,Reasonable Doubt,0,2014,\N,91,"Crime,Drama,Mystery"
tt2305051,movie,Wild,Wild,0,2014,\N,115,"Adventure,Biography,Drama"
tt2321549,movie,The Babadook,The Babadook,0,2014,\N,94,"Drama,Horror,Mystery"
tt2333804,movie,The Zero Theorem,The Zero Theorem,0,2013,\N,107,"Comedy,Drama,Fantasy"
tt2334649,movie,Fruitvale Station,Fruitvale Station,0,2013,\N,85,"Biography,Crime,Drama"
tt2334873,movie,Blue Jasmine,Blue Jasmine,0,2013,\N,98,"Comedy,Drama,Romance"
tt2334879,movie,White House Down,White House Down,0,2013,\N,131,"Action,Drama,Thriller"
tt2345737,movie,The Rover,The Rover,0,2014,\N,103,"Action,Crime,Drama"
tt2349144,movie,Mississippi Grind,Mississippi Grind,0,2015,\N,108,"Comedy,Drama"
tt2350496,movie,The Lunchbox,The Lunchbox,0,2013,\N,104,"Drama,Romance"
tt2350892,movie,Bad Country,Bad Country,0,2014,\N,95,"Action,Crime,Drama"
tt2364841,movie,Runner Runner,Runner Runner,0,2013,\N,88,"Crime,Mystery,Thriller"
tt2370248,movie,Short Term 12,Short Term 12,0,2013,\N,96,Drama
tt2377322,movie,Deliver Us from Evil,Deliver Us from Evil,0,2014,\N,118,"Crime,Horror,Mystery"
tt2381111,movie,Brooklyn,Brooklyn,0,2015,\N,117,"Drama,Romance"
tt2387411,movie,Candle to Water,Candle to Water,0,2012,\N,110,Drama
tt2387559,movie,Delivery Man,Delivery Man,0,2013,\N,105,"Comedy,Drama,Family"
tt2388715,movie,Oculus,Oculus,0,2013,\N,104,"Horror,Mystery,Thriller"
tt2390361,movie,Enough Said,Enough Said,0,2013,\N,93,"Comedy,Drama,Romance"
tt2402157,movie,The November Man,The November Man,0,2014,\N,108,"Action,Adventure,Crime"
tt2402927,movie,Carol,Carol,0,2015,\N,118,"Drama,Romance"
tt2403021,movie,The Green Inferno,The Green Inferno,0,2013,\N,100,"Adventure,Horror"
tt2404181,movie,Belle,Belle,0,2013,\N,100,"Biography,Drama,Romance"
tt2404311,movie,The Family,The Family,0,2013,\N,111,"Comedy,Crime,Thriller"
tt2404425,movie,Woman in Gold,Woman in Gold,0,2015,\N,109,"Biography,Drama,History"
tt2404461,movie,The Past,Le passé,0,2013,\N,130,"Drama,Mystery"
tt2416048,movie,Christ Complex,Christ Complex,0,2012,\N,76,"Comedy,Fantasy"
tt2431286,movie,Philomena,Philomena,0,2013,\N,98,"Biography,Comedy,Drama"
tt2446980,movie,Joy,Joy,0,2015,\N,124,"Biography,Drama"
tt2473602,movie,Get on Up,Get on Up,0,2014,\N,139,"Biography,Drama,Music"
tt2473794,movie,Mr. Turner,Mr. Turner,0,2014,\N,150,"Biography,Drama,History"
tt2488496,movie,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,0,2015,\N,138,"Action,Adventure,Sci-Fi"
tt2488778,movie,The Keeping Room,The Keeping Room,0,2014,\N,95,"Drama,Western"
tt2494362,movie,Bone Tomahawk,Bone Tomahawk,0,2015,\N,132,"Drama,Horror,Western"
tt2507238,movie,Me Him Her,Me Him Her,0,2015,\N,98,"Comedy,Romance"
tt2515034,movie,The Gunman,The Gunman,0,2015,\N,115,"Action,Crime,Mystery"
tt2561546,movie,The Town That Dreaded Sundown,The Town That Dreaded Sundown,0,2014,\N,86,"Horror,Mystery,Thriller"
tt2561572,movie,Get Hard,Get Hard,0,2015,\N,100,"Comedy,Crime,Drama"
tt2562232,movie,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),0,2014,\N,119,"Comedy,Drama"
tt2567712,movie,Starred Up,Starred Up,0,2013,\N,106,"Crime,Drama,Thriller"
tt2582496,movie,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,0,2015,\N,105,"Comedy,Drama"
tt2582802,movie,Whiplash,Whiplash,0,2014,\N,106,"Drama,Music"
tt2582846,movie,The Fault in Our Stars,The Fault in Our Stars,0,2014,\N,126,"Drama,Romance"
tt2639344,movie,Love Is Strange,Love Is Strange,0,2014,\N,94,"Drama,Romance"
tt2692904,movie,Locke,Locke,0,2013,\N,85,Drama
tt2713180,movie,Fury,Fury,0,2014,\N,134,"Action,Drama,War"
tt2717860,movie,The Riot Club,The Riot Club,0,2014,\N,107,"Drama,Thriller"
tt2784678,movie,Top Five,Top Five,0,2014,\N,102,"Comedy,Romance"
tt2802144,movie,Kingsman: The Secret Service,Kingsman: The Secret Service,0,2014,\N,129,"Action,Adventure,Comedy"
tt2837296,movie,Second Coming,Second Coming,0,2014,\N,105,Drama
tt2870708,movie,Wish I Was Here,Wish I Was Here,0,2014,\N,106,"Comedy,Drama"
tt2872462,movie,Mistress America,Mistress America,0,2015,\N,84,"Comedy,Drama"
tt2872718,movie,Nightcrawler,Nightcrawler,0,2014,\N,117,"Crime,Drama,Thriller"
tt2872732,movie,Lucy,Lucy,0,2014,\N,89,"Action,Sci-Fi,Thriller"
tt2883512,movie,Chef,Chef,0,2014,\N,114,"Adventure,Comedy,Drama"
tt2918436,movie,The Lazarus Effect,The Lazarus Effect,0,2015,\N,83,"Horror,Mystery,Sci-Fi"
tt2935476,movie,Far from the Madding Crowd,Far from the Madding Crowd,0,2015,\N,119,"Drama,Romance"
tt2937898,movie,A Most Violent Year,A Most Violent Year,0,2014,\N,125,"Action,Crime,Drama"
tt2980516,movie,The Theory of Everything,The Theory of Everything,0,2014,\N,123,"Biography,Drama,Romance"
tt2980592,movie,The Guest,The Guest,0,2014,\N,100,"Action,Mystery,Thriller"
